Time,Res_percent
0,-0.007846596
0.52147,-0.007846596
0.604925,0
0.695694,-0.007846596
0.777154,0
0.861092,-0.007846596
0.94174,-0.015588571
1.024762,-0.007846596
1.098325,0
1.176897,0
1.249686,0.007953353
1.328722,0
1.402137,0.007953353
1.479633,0
1.549297,0.007953353
1.623095,0
1.692005,0
1.766181,0.007953353
1.84612,0
1.932266,0
2.008695,0
2.091441,-0.007846596
2.168478,0.016015656
2.253173,0.007953353
2.332812,0.016015656
2.419906,0.016015656
2.49548,0.007953353
2.58871,0.024189163
2.664038,0.007953353
2.746635,0.007953353
2.81973,0.007953353
2.900621,0.016015656
2.981015,0.007953353
3.11089,0.016015656
3.307706,-0.007846596
3.383997,0.007953353
3.457944,0.007953353
3.542687,0
3.62257,0
3.702026,0.007953353
3.777298,0
3.856401,0
3.934482,0.007953353
4.016399,0.007953353
4.103805,0.016015656
4.186642,0.007953353
4.268928,0
4.352331,0.007953353
4.432881,0.016015656
4.516262,0.016015656
4.596818,0.007953353
4.678211,0.007953353
4.751704,0.016015656
4.825163,0.007953353
4.895352,0.016015656
4.975434,0.007953353
5.049555,0.024189163
5.1276,0
5.203876,0.016015656
5.285271,0.016015656
5.362293,0.016015656
5.445077,0.007953353
5.523281,0
5.604008,0
5.684433,0.016015656
5.76718,0.016015656
5.845269,0.007953353
5.924017,0.007953353
6.001095,0.016015656
6.079106,0.016015656
6.15712,0.007953353
6.239584,0
6.317021,0.016015656
6.400711,0.016015656
6.482489,0.007953353
6.558427,0.007953353
6.63946,0.007953353
6.717623,0
6.79329,0.007953353
6.875591,0.007953353
6.953195,0.016015656
7.033617,0.007953353
7.1113,0.007953353
7.189812,0.007953353
7.267255,0.016015656
7.355124,0.007953353
7.436306,0
7.517435,0
7.595378,0.007953353
7.67744,0.007953353
7.763341,0.016015656
7.841839,0
7.918983,-0.007846596
8.005061,0
8.08175,0.016015656
8.165739,0.016015656
8.243309,0.007953353
8.325539,0.007953353
8.402749,0.016015656
8.485035,0.016015656
8.557191,0.007953353
8.636403,0.007953353
8.714825,0.016015656
8.79518,0.016015656
8.873241,-0.007846596
8.955927,0
9.031706,0.016015656
9.116335,0.016015656
9.191516,0.007953353
9.26927,0
9.34891,0
9.431309,0.016015656
9.508031,0
9.588957,0
9.663653,0.016015656
9.742617,0.007953353
9.819933,0
9.903295,0.016015656
9.980604,0.007953353
10.056105,0
10.129563,0
10.209448,0
10.280936,0.016015656
10.356985,0
10.434789,0.016015656
10.519788,0.007953353
10.59853,0.016015656
10.678509,0.024189163
10.753266,0
10.830511,0.024189163
10.909335,0.016015656
10.989983,0.016015656
11.069618,0.007953353
11.150782,0.016015656
11.227858,0.016015656
11.305543,0.007953353
11.380787,0.007953353
11.462225,0.016015656
11.540323,0.016015656
11.622463,0
11.700737,0.024189163
11.780615,0.024189163
11.859981,0.016015656
11.94096,0.016015656
12.020191,0.007953353
12.101212,0.016015656
12.180179,0.016015656
12.259711,0.007953353
12.339693,0.007953353
12.419571,0
12.499245,0.016015656
12.582805,0
12.662003,0.016015656
12.744991,0
12.834868,0.016015656
12.914437,0.007953353
12.996848,0.007953353
13.078871,0.016015656
13.156985,0.007953353
13.235833,0
13.319499,0.007953353
13.398704,0.016015656
13.473027,0.007953353
13.552445,0.007953353
13.62935,0.007953353
13.707993,0.016015656
13.781241,0.016015656
13.858987,0.016015656
13.936221,0.007953353
14.018143,0.024189163
14.096148,0.024189163
14.178579,0.024189163
14.256364,0.016015656
14.33749,0.007953353
14.419746,0.016015656
14.502055,0.016015656
14.583717,0.024189163
14.661528,0.024189163
14.74302,0.024189163
14.820796,0.007953353
14.897463,0.016015656
14.976439,0.007953353
15.054997,0
15.134893,0.007953353
15.213764,0.024189163
15.291621,0.024189163
15.370643,0.007953353
15.448068,0.016015656
15.526253,0.016015656
15.602551,0.007953353
15.680483,0.016015656
15.758732,0.016015656
15.831794,0
15.910545,0.016015656
15.993573,0.016015656
16.074373,0.016015656
16.152454,0.016015656
16.233197,0.024189163
16.316191,0.024189163
16.396918,0.03247619
16.475609,0.024189163
16.557841,0.024189163
16.635506,0.024189163
16.713726,0.024189163
16.79163,0.016015656
16.870224,0.03247619
16.945082,0.040879121
17.024683,0.040879121
17.107217,0.024189163
17.188254,0.03247619
17.266569,0.03247619
17.347257,0.03247619
17.426218,0.03247619
17.507859,0.040879121
17.586178,0.03247619
17.667586,0.024189163
17.746442,0.040879121
17.839624,0.03247619
17.916138,0.024189163
17.995962,0.040879121
18.072039,0.03247619
18.154451,0.016015656
18.232144,0.024189163
18.318381,0.024189163
18.395626,0.040879121
18.472734,0.040879121
18.542723,0.040879121
18.621101,0.03247619
18.694737,0.040879121
18.774414,0.03247619
18.845377,0.03247619
18.924764,0.040879121
18.997991,0.040879121
19.080635,0.040879121
19.158606,0.040879121
19.241042,0.03247619
19.322846,0.03247619
19.409408,0.040879121
19.485515,0.03247619
19.568234,0.03247619
19.643942,0.049400402
19.727725,0.040879121
19.803737,0.040879121
19.884089,0.03247619
